@URI,@support,@types,@surfaceForm,@offset,@similarityScore,@percentageOfSecondRank,paragraph,wikiPageID,artistName
http://dbpedia.org/resource/American_Patrol,29,"Wikidata:Q386724,Wikidata:Q2188189,Schema:MusicRecording,Schema:CreativeWork,DBpedia:Work,DBpedia:MusicalWork,DBpedia:Song",American Patrol,440,1.0,0.0,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
http://dbpedia.org/resource/Moonlight_Serenade,106,"Wikidata:Q386724,Wikidata:Q2188189,Schema:MusicRecording,Schema:CreativeWork,DBpedia:Work,DBpedia:MusicalWork,DBpedia:Song",Moonlight Serenade,304,1.0,9.764469070529064E-55,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
http://dbpedia.org/resource/English_Channel,7343,"Schema:Place,Schema:BodyOfWater,DBpedia:Place,DBpedia:NaturalPlace,DBpedia:Location,DBpedia:BodyOfWater",English Channel,937,1.0,5.021093162121786E-22,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
http://dbpedia.org/resource/Elvis_Presley,10377,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Elvis Presley,625,1.0,7.21480869762467E-26,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
http://dbpedia.org/resource/Anvil_Chorus,38,,Anvil Chorus,517,1.0,0.0,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
http://dbpedia.org/resource/Tuxedo_Junction,73,"Wikidata:Q386724,Wikidata:Q2188189,Schema:MusicRecording,Schema:CreativeWork,DBpedia:Work,DBpedia:MusicalWork,DBpedia:Song",Tuxedo Junction,459,1.0,1.0837904621342726E-57,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
http://dbpedia.org/resource/Chattanooga_Choo_Choo,158,"Wikidata:Q386724,Wikidata:Q2188189,Schema:MusicRecording,Schema:CreativeWork,DBpedia:Work,DBpedia:MusicalWork,DBpedia:Song",Chattanooga Choo Choo,349,1.0,2.676320845928663E-45,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
http://dbpedia.org/resource/PEnnsylvania_6-5000,24,,Pennsylvania 6-5000,326,1.0,3.557859774285701E-26,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
http://dbpedia.org/resource/Bronze_Star_Medal,3405,"Wikidata:Q618779,DBpedia:Award",Bronze Star Medal,986,1.0,0.0,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
http://dbpedia.org/resource/Big_band,2954,"Wikidata:Q188451,DUL:Concept,DBpedia:TopicalConcept,DBpedia:Genre,DBpedia:MusicGenre",big-band,85,1.0,0.0,"Alton Glenn Miller (March 1, 1904 – disappeared December 15, 1944) was an American big-band trombonist, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1942, leading one of the best-known big bands. Miller's recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", ""(I've Got a Gal In) Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", ""Little Brown Jug"" and ""Anvil Chorus"". In just four years Glenn Miller scored 16 number-one records and 69 top ten hits—more than Elvis Presley (38 top 10s) and the Beatles (33 top 10s) did in their careers.In 1942, Miller volunteered to join the U.S. military to entertain troops during World War II, ending up with the U.S. Army Air Forces. On December 15, 1944, while flying to Paris, Miller's aircraft disappeared in bad weather over the English Channel. He was posthumously awarded the Bronze Star Medal.
",64610,Glenn_Miller
