locationEntitiy,locationKeyWords,peopleEntity,peopleKeyWords,person,sentence
0,[],0,[],9039,== Discography ==
0,[],0,[],9039,=== Releases in his lifetime ===
0,[],0,[],9039,"A full chronological listing of his lifetime recorded output is available from the source cited here, and an index of individual tunes is available from the source cited here."
0,[],0,[],9039,=== Posthumous compilations ===
0,[],0,[],9039,"Parisian Swing (GNP Crescendo, 1965)"
0,[],0,[],9039,"Quintet of the Hot Club of France (GNP Crescendo, 1965)"
0,[],0,[],9039,"At Club St. Germain (Honeysuckle, 1983)"
0,[],0,[],9039,"Swing Guitar (Jass, 1991)"
0,[],0,[],9039,"Django's Music (Hep, 1994)"
0,[],0,[],9039,"Brussels and Paris (DRG, 1996)"
0,[],0,[],9039,"Quintet of the Hot Club of France (Original Jazz Classics, 1997)"
0,[],0,[],9039,"Django with His American Friends (DRG, 1998)"
0,[],0,[],9039,The Complete Django Reinhardt HMV Sessions (1998)
0,[],0,[],9039,The Classic Early Recordings in Chronological Order (2000)
0,[],0,[],9039,"Djangology (Bluebird, 2002)"
0,[],0,[],9039,Jazz in Paris: Nuages (2003)
0,[],0,[],9039,Vol.
0,[],0,[],9039,== Influence ==
0,[],0,[],9039,His technique is awesome!
0,[],0,[],9039,"Even today, nobody has really come to the state that he was playing at."
0,[],0,[],9039,"As good as players are, they haven't gotten to where he is."
0,[],0,[],9039,"I mean, the combination of incredible speed – all the speed you could possibly want – but also the thing of every note have a specific personality."
0,[],0,[],9039,You don't hear it.
0,[],0,[],9039,I love the human sound he gave his acoustic guitar.
0,[],0,[],9039,== Reinhardt in popular culture ==
0,[],0,[],9039,It opened the 67th Berlin International Film Festival.
0,[],0,[],9039,The Belgian government issued a commemorative coin in 92.5% sterling silver in 2010 coinciding with the 100th anniversary of his birth.
0,[],0,[],9039,It is a silver 10-Euro coin with a color image of Reinhardt on the reverse side.
0,[],0,[],9039,"Even more, I studied his gentleness."
0,[],0,[],9039,Django on the Radio (2008)
0,[],0,[],9039,=== Unrecorded compositions ===
0,[],0,[],9039,Djangofest is an annual music festival in Langley WA.
0,[],0,[],9039,"He had been promised jobs in California, but they failed to develop."
0,[],0,[],9039,=== After the quintet ===
0,[],0,[],9039,"He sometimes showed up for scheduled concerts without a guitar or amplifier, or wandered off to the park or beach."
0,[],0,[],9039,On a few occasions he refused to get out of bed.
0,[],0,[],9039,"He skipped sold-out concerts to ""walk to the beach"" or ""smell the dew."""
0,[],0,[],9039,"Having failed to bring his usual Selmer Modèle Jazz, he played on a borrowed electric guitar, which he felt hampered the delicacy of his style."
0,[],0,[],9039,He continued to play in Paris jazz clubs and began playing electric guitar.
0,[],0,[],9039,"(He often used a Selmer fitted with an electric pickup, despite his initial hesitation about the instrument.)"
